Date,Open,High,Low,Last,Close,Quantity,Turnover
10/30/2017,2586,2620,2581.7,2615.1,2616.2,568626,14822.9
10/27/2017,2538,2593.15,2530.3,2580,2584.3,704635,18090.75
10/26/2017,2535.1,2569.15,2517.9,2531.7,2538.85,1503776,38213.29
10/25/2017,2578.5,2614,2555,2560,2559.9,552553,14259.52
10/24/2017,2620,2620.9,2569.05,2575,2578.4,669510,17280.89
10/23/2017,2584,2629,2547.45,2590,2587.9,943044,24510.29
10/19/2017,2592,2595.8,2571,2583.4,2583.9,43411,1120.86
10/18/2017,2595,2613.65,2580,2592,2586.6,757072,19594.82
10/17/2017,2585,2614.95,2577.55,2594.6,2594.55,721508,18747.43
10/16/2017,2555.05,2590,2555.05,2587,2584.4,609295,15706.77
10/13/2017,2548.2,2608.95,2523,2559.75,2558.6,2033160,52092.88
10/12/2017,2513,2555,2507,2546.9,2548.2,2503178,63317.34
10/11/2017,2460,2514.45,2456.75,2500,2500.35,763873,19053.65
10/10/2017,2455,2469.95,2451.25,2453.4,2459.25,611005,15029.2
10/9/2017,2441.05,2467.95,2441.05,2449.1,2454.1,886808,21795.29
10/6/2017,2430,2455,2428.05,2451,2446.65,694594,16972.4
10/5/2017,2441,2443.45,2424.4,2430,2429.6,842343,20510.78
10/4/2017,2449.6,2454,2425,2442,2442.3,650389,15872.5
10/3/2017,2440,2454.3,2427.05,2452,2448.45,961503,23469.06
9/29/2017,2479,2484,2421.5,2437.6,2435.95,992507,24370.25
9/28/2017,2494.7,2514,2452,2472.75,2476.45,2166433,53738.2
9/27/2017,2490,2512.2,2473.75,2495.1,2495,1005178,25086.34
9/26/2017,2510,2526.4,2466,2475,2474.65,724615,18012.39
9/25/2017,2496.55,2534,2492.75,2510,2510.75,799779,20115.28
9/22/2017,2519.9,2526.9,2492,2509,2503.6,1217698,30542.5
9/21/2017,2491.05,2541,2480,2525,2524.9,1219370,30605.45
9/20/2017,2514,2514,2474.3,2496,2493.55,667321,16588.85
9/19/2017,2505,2505,2491.5,2498,2498.25,391377,9770.93
9/18/2017,2504.95,2518.95,2489.25,2505,2499.05,363300,9092.33
9/15/2017,2499,2517,2485,2504,2506.05,1472036,36850.86
9/14/2017,2482,2497.6,2471.9,2485,2486.95,540755,13433.42
9/13/2017,2500,2531.65,2475.2,2492.7,2489.2,639490,16015.9
9/12/2017,2473.9,2497,2457,2497,2488.45,698230,17243.6
9/11/2017,2471.2,2482.95,2450,2455,2454.45,366382,9025.4
9/8/2017,2453.75,2474,2452.55,2465.15,2470.6,510567,12591.26
9/7/2017,2458,2468.4,2451.05,2460,2460.1,435318,10702.73
9/6/2017,2468.15,2474.85,2450,2453,2453.2,614382,15081.66
9/5/2017,2460,2490,2437.05,2484.65,2484.35,582997,14359.97
9/4/2017,2453.1,2461,2438,2457,2456.2,531272,13027.11
